Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
521.0,1715939305.4767337,1,-1.3113021850585938e-05,1715939305.47676,2.1457672119140625e-06
530.0,1715939305.5268524,1,-1.1920928955078125e-05,1715939305.5268788,1.9073486328125e-06
535.0,1715939305.5768821,1,-1.4066696166992188e-05,1715939305.5769098,2.1457672119140625e-06
549.0,1715939305.627015,1,-1.430511474609375e-05,1715939305.6270442,2.1457672119140625e-06
548.0,1715939305.677105,1,-1.3113021850585938e-05,1715939305.6771338,2.1457672119140625e-06
555.0,1715939305.72729,1,-1.5020370483398438e-05,1715939305.7273312,2.1457672119140625e-06
558.0,1715939305.7773578,1,-1.5020370483398438e-05,1715939305.7773893,2.1457672119140625e-06
573.0,1715939305.8275442,1,-1.2636184692382812e-05,1715939305.8275716,2.384185791015625e-06
570.0,1715939305.8788803,1,-1.0013580322265625e-05,1715939305.8789022,2.1457672119140625e-06
587.0,1715939305.9291213,1,-8.344650268554688e-06,1715939305.929144,1.430511474609375e-06
583.0,1715939305.9792144,1,-9.5367431640625e-06,1715939305.9792356,1.6689300537109375e-06
600.0,1715939306.0294363,1,-8.58306884765625e-06,1715939306.0294602,1.9073486328125e-06
599.0,1715939306.079458,1,-9.775161743164062e-06,1715939306.0794795,1.9073486328125e-06
615.0,1715939306.1296587,1,-9.059906005859375e-06,1715939306.1296794,1.9073486328125e-06
616.0,1715939306.1798527,1,-8.58306884765625e-06,1715939306.1798763,1.9073486328125e-06
637.0,1715939306.2301097,1,-1.0013580322265625e-05,1715939306.2301314,1.9073486328125e-06
635.0,1715939306.2804093,1,-1.049041748046875e-05,1715939306.280432,1.6689300537109375e-06
651.0,1715939306.3305094,1,-1.0728836059570312e-05,1715939306.3305323,1.9073486328125e-06
651.0,1715939306.3806133,1,-8.821487426757812e-06,1715939306.3806348,2.6226043701171875e-06
671.0,1715939306.4308894,1,-1.0251998901367188e-05,1715939306.4309115,1.430511474609375e-06
673.0,1715939306.4809396,1,-1.0251998901367188e-05,1715939306.4809613,1.6689300537109375e-06
690.0,1715939306.5324304,1,-8.344650268554688e-06,1715939306.5324528,1.9073486328125e-06
690.0,1715939306.5826087,1,-1.0251998901367188e-05,1715939306.5826306,1.9073486328125e-06
707.0,1715939306.6327224,1,-1.0967254638671875e-05,1715939306.6327457,1.430511474609375e-06
703.0,1715939306.6828418,1,-1.0251998901367188e-05,1715939306.6828647,1.430511474609375e-06
720.0,1715939306.733127,1,-8.58306884765625e-06,1715939306.7331479,2.384185791015625e-06
728.0,1715939306.7830293,1,-5.245208740234375e-06,1715939306.7830422,7.152557373046875e-07
736.0,1715939306.8331766,1,-6.4373016357421875e-06,1715939306.8331897,7.152557373046875e-07
744.0,1715939306.883276,1,-1.0967254638671875e-05,1715939306.8832936,9.5367431640625e-07
755.0,1715939306.9334457,1,-4.76837158203125e-06,1715939306.933458,9.5367431640625e-07
764.0,1715939306.983525,1,-6.67572021484375e-06,1715939306.9835384,7.152557373046875e-07
771.0,1715939307.033665,1,-4.76837158203125e-06,1715939307.0336764,7.152557373046875e-07
774.0,1715939307.0841362,1,-1.0728836059570312e-05,1715939307.0841587,1.9073486328125e-06
784.0,1715939307.1354997,1,-9.775161743164062e-06,1715939307.1355212,2.1457672119140625e-06
784.0,1715939307.1855993,1,-1.0013580322265625e-05,1715939307.185621,1.430511474609375e-06
796.0,1715939307.2357566,1,-8.344650268554688e-06,1715939307.235786,1.9073486328125e-06
790.0,1715939307.28584,1,-8.106231689453125e-06,1715939307.285862,1.6689300537109375e-06
804.0,1715939307.33616,1,-8.58306884765625e-06,1715939307.3361835,1.9073486328125e-06
801.0,1715939307.386186,1,-1.049041748046875e-05,1715939307.3862085,2.6226043701171875e-06
817.0,1715939307.4364517,1,-1.0251998901367188e-05,1715939307.4364738,1.430511474609375e-06
815.0,1715939307.486595,1,-9.298324584960938e-06,1715939307.486616,1.6689300537109375e-06
826.0,1715939307.5368776,1,-9.298324584960938e-06,1715939307.5369055,1.6689300537109375e-06
817.0,1715939307.586948,1,-9.5367431640625e-06,1715939307.5869691,1.430511474609375e-06
824.0,1715939307.6371028,1,-8.58306884765625e-06,1715939307.6371238,2.1457672119140625e-06
820.0,1715939307.6873548,1,-8.58306884765625e-06,1715939307.6873777,1.6689300537109375e-06
822.0,1715939307.7386804,1,-8.58306884765625e-06,1715939307.7387006,1.6689300537109375e-06
820.0,1715939307.7888026,1,-8.821487426757812e-06,1715939307.7888224,1.9073486328125e-06
826.0,1715939307.8390577,1,-8.106231689453125e-06,1715939307.8390777,1.430511474609375e-06
821.0,1715939307.889263,1,-3.743171691894531e-05,1715939307.8893127,1.6689300537109375e-06
820.0,1715939307.9395642,1,-8.821487426757812e-06,1715939307.9395843,2.384185791015625e-06
813.0,1715939307.989813,1,-8.58306884765625e-06,1715939307.9898329,1.6689300537109375e-06
819.0,1715939308.0401347,1,-9.298324584960938e-06,1715939308.0401583,1.6689300537109375e-06
809.0,1715939308.0901918,1,-1.0251998901367188e-05,1715939308.0902135,1.6689300537109375e-06
812.0,1715939308.1403658,1,-8.821487426757812e-06,1715939308.1403887,1.6689300537109375e-06
803.0,1715939308.1905985,1,-8.106231689453125e-06,1715939308.1906211,1.6689300537109375e-06
809.0,1715939308.2408578,1,-9.775161743164062e-06,1715939308.240879,1.6689300537109375e-06
799.0,1715939308.290956,1,-1.0013580322265625e-05,1715939308.290978,1.9073486328125e-06
798.0,1715939308.3411036,1,-1.0251998901367188e-05,1715939308.341125,1.9073486328125e-06
786.0,1715939308.3913043,1,-9.775161743164062e-06,1715939308.3913255,1.9073486328125e-06
787.0,1715939308.4414735,1,-1.0251998901367188e-05,1715939308.4414957,1.6689300537109375e-06
775.0,1715939308.491588,1,-1.0013580322265625e-05,1715939308.49161,1.6689300537109375e-06
775.0,1715939308.541739,1,-1.0013580322265625e-05,1715939308.5417686,1.9073486328125e-06
763.0,1715939308.5930426,1,-9.298324584960938e-06,1715939308.5930634,1.6689300537109375e-06
766.0,1715939308.6432111,1,-8.344650268554688e-06,1715939308.6432335,1.9073486328125e-06
752.0,1715939308.6933303,1,-9.059906005859375e-06,1715939308.6933541,1.9073486328125e-06
751.0,1715939308.7434685,1,-1.0251998901367188e-05,1715939308.7434905,1.6689300537109375e-06
734.0,1715939308.7935748,1,-8.821487426757812e-06,1715939308.7935977,1.9073486328125e-06
736.0,1715939308.84387,1,-9.5367431640625e-06,1715939308.843891,1.9073486328125e-06
723.0,1715939308.8939252,1,-8.58306884765625e-06,1715939308.8939471,1.430511474609375e-06
718.0,1715939308.9441571,1,-9.059906005859375e-06,1715939308.9441805,1.430511474609375e-06
703.0,1715939308.9942124,1,-8.344650268554688e-06,1715939308.9942348,1.9073486328125e-06
699.0,1715939309.0456157,1,-9.775161743164062e-06,1715939309.0456376,1.6689300537109375e-06
687.0,1715939309.0958054,1,-8.821487426757812e-06,1715939309.0958283,1.6689300537109375e-06
683.0,1715939309.1460953,1,-1.0251998901367188e-05,1715939309.1461174,1.6689300537109375e-06
671.0,1715939309.1962528,1,-4.00543212890625e-05,1715939309.1963058,1.6689300537109375e-06
663.0,1715939309.2463238,1,-8.58306884765625e-06,1715939309.2463467,2.1457672119140625e-06
651.0,1715939309.296548,1,-1.0251998901367188e-05,1715939309.2965693,1.9073486328125e-06
647.0,1715939309.3466048,1,-8.821487426757812e-06,1715939309.3466272,1.9073486328125e-06
628.0,1715939309.3966615,1,-9.775161743164062e-06,1715939309.3966832,1.9073486328125e-06
628.0,1715939309.4468699,1,-8.58306884765625e-06,1715939309.446892,1.9073486328125e-06
614.0,1715939309.4969032,1,-8.344650268554688e-06,1715939309.4969268,1.6689300537109375e-06
615.0,1715939309.5470848,1,-8.821487426757812e-06,1715939309.5471077,1.430511474609375e-06
598.0,1715939309.5985618,1,-1.0013580322265625e-05,1715939309.5985832,1.9073486328125e-06
598.0,1715939309.6487675,1,-8.58306884765625e-06,1715939309.6487885,1.9073486328125e-06
582.0,1715939309.6984808,1,-6.198883056640625e-06,1715939309.6984937,7.152557373046875e-07
