Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
759.0,1715939198.2945335,1,-1.1920928955078125e-05,1715939198.2945595,2.1457672119140625e-06
762.0,1715939198.3447003,1,-1.2159347534179688e-05,1715939198.3447294,2.1457672119140625e-06
757.0,1715939198.394782,1,-1.4543533325195312e-05,1715939198.3948138,1.9073486328125e-06
759.0,1715939198.445134,1,-1.4781951904296875e-05,1715939198.4451656,1.9073486328125e-06
747.0,1715939198.4953444,1,-1.5735626220703125e-05,1715939198.4953763,2.1457672119140625e-06
747.0,1715939198.5454838,1,-1.3113021850585938e-05,1715939198.5455158,2.384185791015625e-06
737.0,1715939198.5955164,1,-1.2636184692382812e-05,1715939198.595547,2.1457672119140625e-06
734.0,1715939198.64578,1,-1.2874603271484375e-05,1715939198.6458108,2.1457672119140625e-06
725.0,1715939198.6957881,1,-8.821487426757812e-06,1715939198.695812,1.9073486328125e-06
714.0,1715939198.7459564,1,-9.775161743164062e-06,1715939198.7459793,1.9073486328125e-06
706.0,1715939198.7977502,1,-9.059906005859375e-06,1715939198.7977767,1.430511474609375e-06
695.0,1715939198.8475392,1,-1.0251998901367188e-05,1715939198.847563,2.1457672119140625e-06
685.0,1715939198.897659,1,-1.0728836059570312e-05,1715939198.8976822,2.6226043701171875e-06
680.0,1715939198.9478436,1,-9.298324584960938e-06,1715939198.947868,1.9073486328125e-06
663.0,1715939198.9978871,1,-9.775161743164062e-06,1715939198.9979103,2.1457672119140625e-06
661.0,1715939199.048159,1,-8.344650268554688e-06,1715939199.0481827,1.9073486328125e-06
644.0,1715939199.0981343,1,-1.0251998901367188e-05,1715939199.098158,1.6689300537109375e-06
640.0,1715939199.14839,1,-8.58306884765625e-06,1715939199.148414,1.9073486328125e-06
627.0,1715939199.198248,1,-8.106231689453125e-06,1715939199.1982675,1.1920928955078125e-06
617.0,1715939199.2496314,1,-7.867813110351562e-06,1715939199.2496498,1.1920928955078125e-06
606.0,1715939199.2998433,1,-8.821487426757812e-06,1715939199.2998679,1.430511474609375e-06
594.0,1715939199.3500564,1,-6.67572021484375e-06,1715939199.3500748,1.9073486328125e-06
582.0,1715939199.4001806,1,-9.059906005859375e-06,1715939199.4001997,1.1920928955078125e-06
571.0,1715939199.4503152,1,-9.775161743164062e-06,1715939199.4503365,1.6689300537109375e-06
562.0,1715939199.5004544,1,-7.62939453125e-06,1715939199.5004756,1.430511474609375e-06
554.0,1715939199.5505292,1,-9.059906005859375e-06,1715939199.5505483,1.1920928955078125e-06
541.0,1715939199.6006074,1,-7.152557373046875e-06,1715939199.6006262,1.430511474609375e-06
539.0,1715939199.6507967,1,-8.821487426757812e-06,1715939199.6508157,1.1920928955078125e-06
530.0,1715939199.702107,1,-8.821487426757812e-06,1715939199.7021258,1.430511474609375e-06
530.0,1715939199.7523715,1,-9.059906005859375e-06,1715939199.752392,1.430511474609375e-06
522.0,1715939199.8024156,1,-7.3909759521484375e-06,1715939199.8024375,1.6689300537109375e-06
521.0,1715939199.8524847,1,-7.152557373046875e-06,1715939199.8525043,1.430511474609375e-06
512.0,1715939199.9026372,1,-8.106231689453125e-06,1715939199.902656,1.1920928955078125e-06
514.0,1715939199.9528081,1,-7.62939453125e-06,1715939199.952829,1.6689300537109375e-06
507.0,1715939200.002918,1,-9.5367431640625e-06,1715939200.0029383,1.6689300537109375e-06
506.0,1715939200.053048,1,-6.67572021484375e-06,1715939200.0530665,1.1920928955078125e-06
504.0,1715939200.1031077,1,-7.3909759521484375e-06,1715939200.1031263,9.5367431640625e-07
509.0,1715939200.1545188,1,-8.58306884765625e-06,1715939200.154537,1.1920928955078125e-06
501.0,1715939200.2045915,1,-1.4543533325195312e-05,1715939200.2046185,1.430511474609375e-06
499.0,1715939200.2547631,1,-8.344650268554688e-06,1715939200.254782,1.430511474609375e-06
494.0,1715939200.3048642,1,-8.58306884765625e-06,1715939200.3048837,1.1920928955078125e-06
499.0,1715939200.3551586,1,-6.9141387939453125e-06,1715939200.3551776,1.430511474609375e-06
503.0,1715939200.4052215,1,-6.9141387939453125e-06,1715939200.4052424,1.430511474609375e-06
