Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
449.0,1715940715.550601,1,-6.198883056640625e-06,1715940715.5506153,1.1920928955078125e-06
440.0,1715940715.601279,1,-9.298324584960938e-06,1715940715.6013036,7.152557373046875e-07
430.0,1715940715.6511376,1,-1.52587890625e-05,1715940715.651169,2.384185791015625e-06
440.0,1715940715.701987,1,-1.5735626220703125e-05,1715940715.7020192,2.384185791015625e-06
438.0,1715940715.7514696,1,-1.4781951904296875e-05,1715940715.751501,1.9073486328125e-06
434.0,1715940715.8028922,1,-1.4543533325195312e-05,1715940715.8029227,2.1457672119140625e-06
436.0,1715940715.8530333,1,-1.52587890625e-05,1715940715.8530648,1.9073486328125e-06
442.0,1715940715.903161,1,-1.1682510375976562e-05,1715940715.9032009,2.384185791015625e-06
442.0,1715940715.9532266,1,-9.298324584960938e-06,1715940715.9532511,1.6689300537109375e-06
443.0,1715940716.0033803,1,-9.775161743164062e-06,1715940716.0034018,1.9073486328125e-06
442.0,1715940716.0535717,1,-1.0013580322265625e-05,1715940716.0535934,2.6226043701171875e-06
438.0,1715940716.1037996,1,-1.0728836059570312e-05,1715940716.1038227,1.6689300537109375e-06
437.0,1715940716.1538508,1,-1.0967254638671875e-05,1715940716.1538744,1.6689300537109375e-06
437.0,1715940716.2042124,1,-1.049041748046875e-05,1715940716.204235,1.430511474609375e-06
437.0,1715940716.254352,1,-1.0967254638671875e-05,1715940716.2543752,1.430511474609375e-06
439.0,1715940716.3045478,1,-1.0728836059570312e-05,1715940716.3045712,1.430511474609375e-06
440.0,1715940716.3558338,1,-9.059906005859375e-06,1715940716.3558557,1.430511474609375e-06
449.0,1715940716.4061105,1,-8.821487426757812e-06,1715940716.4061315,1.430511474609375e-06
451.0,1715940716.4563243,1,-9.298324584960938e-06,1715940716.456346,1.9073486328125e-06
459.0,1715940716.5064476,1,-8.821487426757812e-06,1715940716.5064685,1.9073486328125e-06
462.0,1715940716.5565288,1,-1.71661376953125e-05,1715940716.556559,1.6689300537109375e-06
473.0,1715940716.606879,1,-9.059906005859375e-06,1715940716.6069005,1.9073486328125e-06
469.0,1715940716.6570663,1,-1.0013580322265625e-05,1715940716.6570888,2.86102294921875e-06
483.0,1715940716.7071884,1,-9.059906005859375e-06,1715940716.7072122,1.9073486328125e-06
483.0,1715940716.75728,1,-1.0728836059570312e-05,1715940716.7573025,1.430511474609375e-06
488.0,1715940716.8076377,1,-9.298324584960938e-06,1715940716.807661,1.9073486328125e-06
492.0,1715940716.8576932,1,-1.0251998901367188e-05,1715940716.8577154,1.9073486328125e-06
502.0,1715940716.907882,1,-9.775161743164062e-06,1715940716.9079037,2.384185791015625e-06
505.0,1715940716.9580991,1,-8.821487426757812e-06,1715940716.958121,2.384185791015625e-06
516.0,1715940717.008346,1,-1.0251998901367188e-05,1715940717.0083685,1.6689300537109375e-06
520.0,1715940717.059591,1,-1.0728836059570312e-05,1715940717.059614,1.9073486328125e-06
537.0,1715940717.1097455,1,-1.0967254638671875e-05,1715940717.1097689,2.384185791015625e-06
533.0,1715940717.1598334,1,-9.059906005859375e-06,1715940717.1598577,1.6689300537109375e-06
542.0,1715940717.210115,1,-8.344650268554688e-06,1715940717.2101376,1.6689300537109375e-06
542.0,1715940717.2603927,1,-1.0251998901367188e-05,1715940717.2604148,1.430511474609375e-06
552.0,1715940717.3104966,1,-9.298324584960938e-06,1715940717.3105183,1.9073486328125e-06
552.0,1715940717.3605933,1,-1.0728836059570312e-05,1715940717.3606162,1.430511474609375e-06
563.0,1715940717.4108772,1,-1.049041748046875e-05,1715940717.4108999,1.6689300537109375e-06
562.0,1715940717.4609802,1,-9.059906005859375e-06,1715940717.4610033,1.430511474609375e-06
574.0,1715940717.5110867,1,-9.5367431640625e-06,1715940717.5111086,1.6689300537109375e-06
575.0,1715940717.5613623,1,-9.5367431640625e-06,1715940717.5613873,1.430511474609375e-06
585.0,1715940717.6114872,1,-1.0728836059570312e-05,1715940717.61151,1.6689300537109375e-06
582.0,1715940717.661633,1,-9.059906005859375e-06,1715940717.6616566,1.6689300537109375e-06
591.0,1715940717.7130923,1,-1.049041748046875e-05,1715940717.713115,2.6226043701171875e-06
589.0,1715940717.7621746,1,-1.1444091796875e-05,1715940717.7621982,2.6226043701171875e-06
602.0,1715940717.8139102,1,-9.298324584960938e-06,1715940717.8139343,1.9073486328125e-06
597.0,1715940717.8641508,1,-9.5367431640625e-06,1715940717.8641853,1.9073486328125e-06
605.0,1715940717.914287,1,-1.0728836059570312e-05,1715940717.9143105,1.6689300537109375e-06
605.0,1715940717.964424,1,-1.0728836059570312e-05,1715940717.9644477,2.6226043701171875e-06
610.0,1715940718.0145113,1,-1.6450881958007812e-05,1715940718.0145423,2.1457672119140625e-06
608.0,1715940718.0646281,1,-9.059906005859375e-06,1715940718.0646522,1.9073486328125e-06
612.0,1715940718.114727,1,-9.059906005859375e-06,1715940718.1147513,1.6689300537109375e-06
612.0,1715940718.1648521,1,-1.0013580322265625e-05,1715940718.1648746,1.6689300537109375e-06
616.0,1715940718.2151184,1,-1.049041748046875e-05,1715940718.215141,1.9073486328125e-06
