Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
822.0,1715939407.613633,1,-6.4373016357421875e-06,1715939407.6136491,9.5367431640625e-07
815.0,1715939407.6637583,1,-7.3909759521484375e-06,1715939407.6637743,9.5367431640625e-07
807.0,1715939407.7141294,1,-1.2159347534179688e-05,1715939407.7141585,2.6226043701171875e-06
821.0,1715939407.7643065,1,-1.430511474609375e-05,1715939407.764336,2.1457672119140625e-06
807.0,1715939407.8143396,1,-1.4781951904296875e-05,1715939407.8143704,2.1457672119140625e-06
807.0,1715939407.8645794,1,-1.5020370483398438e-05,1715939407.8646119,2.384185791015625e-06
807.0,1715939407.9146595,1,-1.3589859008789062e-05,1715939407.914692,2.1457672119140625e-06
800.0,1715939407.9649298,1,-1.3113021850585938e-05,1715939407.9649599,2.1457672119140625e-06
786.0,1715939408.0162923,1,-8.58306884765625e-06,1715939408.0163157,2.6226043701171875e-06
788.0,1715939408.0664058,1,-1.811981201171875e-05,1715939408.0664387,1.6689300537109375e-06
783.0,1715939408.1165023,1,-1.0013580322265625e-05,1715939408.1165257,1.6689300537109375e-06
785.0,1715939408.1667013,1,-1.0251998901367188e-05,1715939408.1667247,1.9073486328125e-06
773.0,1715939408.2169127,1,-8.821487426757812e-06,1715939408.2169373,1.9073486328125e-06
775.0,1715939408.2671888,1,-1.0251998901367188e-05,1715939408.267212,1.9073486328125e-06
761.0,1715939408.3173637,1,-9.775161743164062e-06,1715939408.317389,1.9073486328125e-06
759.0,1715939408.3675337,1,-1.0728836059570312e-05,1715939408.367558,1.430511474609375e-06
749.0,1715939408.417603,1,-1.0251998901367188e-05,1715939408.4176261,1.6689300537109375e-06
748.0,1715939408.4679253,1,-8.106231689453125e-06,1715939408.4679468,7.987022399902344e-05
730.0,1715939408.5179386,1,-9.059906005859375e-06,1715939408.5179622,2.6226043701171875e-06
732.0,1715939408.568177,1,-8.58306884765625e-06,1715939408.568201,1.6689300537109375e-06
716.0,1715939408.6183395,1,-8.58306884765625e-06,1715939408.6183624,2.384185791015625e-06
711.0,1715939408.6686823,1,-9.775161743164062e-06,1715939408.6687047,2.1457672119140625e-06
702.0,1715939408.7188644,1,-1.0251998901367188e-05,1715939408.7188876,2.1457672119140625e-06
696.0,1715939408.7690177,1,-1.0013580322265625e-05,1715939408.769048,2.1457672119140625e-06
692.0,1715939408.8191867,1,-1.0013580322265625e-05,1715939408.8192103,3.337860107421875e-06
684.0,1715939408.870631,1,-1.0013580322265625e-05,1715939408.8706539,1.9073486328125e-06
667.0,1715939408.920748,1,-1.0013580322265625e-05,1715939408.9207704,1.6689300537109375e-06
662.0,1715939408.9709158,1,-1.0251998901367188e-05,1715939408.9709392,1.430511474609375e-06
651.0,1715939409.0209615,1,-8.821487426757812e-06,1715939409.020983,1.9073486328125e-06
648.0,1715939409.0711474,1,-8.58306884765625e-06,1715939409.0711691,1.430511474609375e-06
635.0,1715939409.121322,1,-8.344650268554688e-06,1715939409.1213439,1.6689300537109375e-06
631.0,1715939409.1714709,1,-8.344650268554688e-06,1715939409.1714923,1.9073486328125e-06
620.0,1715939409.2215526,1,-9.059906005859375e-06,1715939409.221576,1.6689300537109375e-06
616.0,1715939409.2717345,1,-9.059906005859375e-06,1715939409.271756,2.1457672119140625e-06
607.0,1715939409.3230937,1,-9.5367431640625e-06,1715939409.3231165,1.9073486328125e-06
607.0,1715939409.3721738,1,-8.821487426757812e-06,1715939409.3721952,2.1457672119140625e-06
591.0,1715939409.423483,1,-1.049041748046875e-05,1715939409.423507,2.6226043701171875e-06
590.0,1715939409.4736555,1,-8.58306884765625e-06,1715939409.47368,2.1457672119140625e-06
572.0,1715939409.5237122,1,-9.5367431640625e-06,1715939409.5237346,1.6689300537109375e-06
574.0,1715939409.5738947,1,-9.775161743164062e-06,1715939409.5739174,1.6689300537109375e-06
558.0,1715939409.6241543,1,-8.344650268554688e-06,1715939409.6241794,1.9073486328125e-06
564.0,1715939409.6743758,1,-9.059906005859375e-06,1715939409.6743972,1.6689300537109375e-06
548.0,1715939409.7246282,1,-9.775161743164062e-06,1715939409.7246509,1.9073486328125e-06
553.0,1715939409.774768,1,-8.58306884765625e-06,1715939409.7747977,1.6689300537109375e-06
546.0,1715939409.8248448,1,-1.049041748046875e-05,1715939409.8248684,1.6689300537109375e-06
547.0,1715939409.875015,1,-9.5367431640625e-06,1715939409.875038,2.6226043701171875e-06
533.0,1715939409.9263086,1,-1.0013580322265625e-05,1715939409.9263322,1.6689300537109375e-06
542.0,1715939409.976549,1,-9.059906005859375e-06,1715939409.9765737,2.1457672119140625e-06
529.0,1715939410.0266173,1,-8.58306884765625e-06,1715939410.0266414,2.1457672119140625e-06
539.0,1715939410.0767775,1,-8.821487426757812e-06,1715939410.0768065,2.1457672119140625e-06
526.0,1715939410.1268735,1,-9.775161743164062e-06,1715939410.126896,1.6689300537109375e-06
