Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
530.0,1715939044.3666837,1,-1.2159347534179688e-05,1715939044.3667097,2.384185791015625e-06
541.0,1715939044.4169593,1,-1.239776611328125e-05,1715939044.4169884,1.9073486328125e-06
542.0,1715939044.4670925,1,-1.430511474609375e-05,1715939044.467123,1.9073486328125e-06
552.0,1715939044.5172281,1,-1.5974044799804688e-05,1715939044.5172617,2.384185791015625e-06
553.0,1715939044.5673203,1,-1.3589859008789062e-05,1715939044.567352,2.1457672119140625e-06
561.0,1715939044.6174538,1,-1.3589859008789062e-05,1715939044.6174855,2.1457672119140625e-06
563.0,1715939044.6676033,1,-1.3589859008789062e-05,1715939044.667635,2.384185791015625e-06
578.0,1715939044.7178383,1,-1.1920928955078125e-05,1715939044.7178683,1.9073486328125e-06
575.0,1715939044.768175,1,-9.059906005859375e-06,1715939044.7682002,2.1457672119140625e-06
582.0,1715939044.8183305,1,-1.0251998901367188e-05,1715939044.8183534,1.430511474609375e-06
580.0,1715939044.8684886,1,-8.58306884765625e-06,1715939044.8685107,2.6226043701171875e-06
583.0,1715939044.9186368,1,-9.059906005859375e-06,1715939044.9186592,2.86102294921875e-06
588.0,1715939044.9688091,1,-8.821487426757812e-06,1715939044.968833,1.9073486328125e-06
592.0,1715939045.0203915,1,-8.821487426757812e-06,1715939045.0204203,1.9073486328125e-06
594.0,1715939045.0706325,1,-9.5367431640625e-06,1715939045.0706544,1.9073486328125e-06
607.0,1715939045.1207702,1,-1.0013580322265625e-05,1715939045.1207929,1.6689300537109375e-06
603.0,1715939045.1708097,1,-9.059906005859375e-06,1715939045.1708345,1.6689300537109375e-06
616.0,1715939045.2210693,1,-1.1205673217773438e-05,1715939045.2210937,2.6226043701171875e-06
614.0,1715939045.2713475,1,-1.049041748046875e-05,1715939045.2713706,2.1457672119140625e-06
623.0,1715939045.3214848,1,-1.0967254638671875e-05,1715939045.3215091,2.384185791015625e-06
617.0,1715939045.3715541,1,-9.5367431640625e-06,1715939045.3715763,2.384185791015625e-06
622.0,1715939045.4218714,1,-9.059906005859375e-06,1715939045.4218943,2.6226043701171875e-06
620.0,1715939045.4720666,1,-1.049041748046875e-05,1715939045.4720912,1.430511474609375e-06
624.0,1715939045.5221252,1,-8.821487426757812e-06,1715939045.5221505,1.430511474609375e-06
618.0,1715939045.572327,1,-8.58306884765625e-06,1715939045.5723517,1.9073486328125e-06
612.0,1715939045.622532,1,-9.775161743164062e-06,1715939045.622555,1.9073486328125e-06
606.0,1715939045.6738162,1,-1.0251998901367188e-05,1715939045.673839,1.9073486328125e-06
612.0,1715939045.7228563,1,-8.58306884765625e-06,1715939045.7228792,1.9073486328125e-06
601.0,1715939045.7741625,1,-9.5367431640625e-06,1715939045.7741852,1.9073486328125e-06
604.0,1715939045.8243876,1,-9.775161743164062e-06,1715939045.8244107,2.6226043701171875e-06
600.0,1715939045.8745482,1,-1.049041748046875e-05,1715939045.8745718,1.6689300537109375e-06
600.0,1715939045.9244106,1,-5.0067901611328125e-06,1715939045.924425,1.1920928955078125e-06
596.0,1715939045.9744933,1,-5.0067901611328125e-06,1715939045.9745069,4.0531158447265625e-06
587.0,1715939046.0249827,1,-9.059906005859375e-06,1715939046.0250046,1.6689300537109375e-06
584.0,1715939046.075079,1,-8.58306884765625e-06,1715939046.0751,1.430511474609375e-06
578.0,1715939046.125224,1,-9.059906005859375e-06,1715939046.1252453,2.1457672119140625e-06
574.0,1715939046.1752691,1,-8.58306884765625e-06,1715939046.17529,1.9073486328125e-06
567.0,1715939046.226669,1,-1.0251998901367188e-05,1715939046.2266922,1.6689300537109375e-06
563.0,1715939046.2767916,1,-9.059906005859375e-06,1715939046.2768168,1.9073486328125e-06
559.0,1715939046.3269424,1,-8.58306884765625e-06,1715939046.3269665,1.430511474609375e-06
554.0,1715939046.3770754,1,-8.58306884765625e-06,1715939046.3771,1.6689300537109375e-06
555.0,1715939046.4271948,1,-8.58306884765625e-06,1715939046.427219,1.6689300537109375e-06
545.0,1715939046.477295,1,-9.775161743164062e-06,1715939046.477319,1.9073486328125e-06
541.0,1715939046.5274742,1,-9.059906005859375e-06,1715939046.5274975,1.6689300537109375e-06
534.0,1715939046.5776176,1,-1.0251998901367188e-05,1715939046.5776496,2.1457672119140625e-06
527.0,1715939046.627848,1,-1.049041748046875e-05,1715939046.627871,1.6689300537109375e-06
525.0,1715939046.677947,1,-9.775161743164062e-06,1715939046.6779695,1.6689300537109375e-06
516.0,1715939046.7282064,1,-9.298324584960938e-06,1715939046.7282305,1.9073486328125e-06
511.0,1715939046.779594,1,-9.298324584960938e-06,1715939046.7796187,1.9073486328125e-06
510.0,1715939046.8298821,1,-1.0251998901367188e-05,1715939046.8299048,1.9073486328125e-06
502.0,1715939046.879924,1,-8.821487426757812e-06,1715939046.879947,6.389617919921875e-05
499.0,1715939046.9301271,1,-9.059906005859375e-06,1715939046.9301512,1.6689300537109375e-06
496.0,1715939046.9803824,1,-1.0728836059570312e-05,1715939046.980406,1.6689300537109375e-06
494.0,1715939047.0304596,1,-8.106231689453125e-06,1715939047.0304835,1.6689300537109375e-06
486.0,1715939047.0805573,1,-9.298324584960938e-06,1715939047.080581,1.9073486328125e-06
488.0,1715939047.1307647,1,-1.0728836059570312e-05,1715939047.130789,1.9073486328125e-06
489.0,1715939047.180838,1,-1.049041748046875e-05,1715939047.1808612,1.430511474609375e-06
487.0,1715939047.230977,1,-8.58306884765625e-06,1715939047.231,1.9073486328125e-06
486.0,1715939047.2823458,1,-1.0013580322265625e-05,1715939047.2823694,1.6689300537109375e-06
