Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
725.0,1715939754.0340283,1,-1.2159347534179688e-05,1715939754.034057,2.1457672119140625e-06
739.0,1715939754.0842962,1,-1.2159347534179688e-05,1715939754.0843256,2.1457672119140625e-06
736.0,1715939754.134175,1,-1.5974044799804688e-05,1715939754.1342077,2.1457672119140625e-06
748.0,1715939754.1844313,1,-1.52587890625e-05,1715939754.184464,2.1457672119140625e-06
742.0,1715939754.2343984,1,-1.5020370483398438e-05,1715939754.2344313,1.9073486328125e-06
752.0,1715939754.2845695,1,-1.5020370483398438e-05,1715939754.2846007,2.86102294921875e-06
750.0,1715939754.3348126,1,-1.4543533325195312e-05,1715939754.3348448,2.384185791015625e-06
761.0,1715939754.3850987,1,-1.4543533325195312e-05,1715939754.3851304,2.1457672119140625e-06
754.0,1715939754.4364944,1,-1.1444091796875e-05,1715939754.4365203,1.9073486328125e-06
759.0,1715939754.4866164,1,-1.0728836059570312e-05,1715939754.4866438,1.6689300537109375e-06
758.0,1715939754.5368261,1,-1.1444091796875e-05,1715939754.5368507,1.9073486328125e-06
763.0,1715939754.5870283,1,-1.2159347534179688e-05,1715939754.5870538,1.9073486328125e-06
755.0,1715939754.6370816,1,-1.0013580322265625e-05,1715939754.6371076,1.6689300537109375e-06
762.0,1715939754.687218,1,-1.0013580322265625e-05,1715939754.6872442,1.9073486328125e-06
755.0,1715939754.7373452,1,-1.1444091796875e-05,1715939754.73737,1.9073486328125e-06
758.0,1715939754.7875915,1,-1.0728836059570312e-05,1715939754.7876158,1.6689300537109375e-06
746.0,1715939754.837698,1,-1.1444091796875e-05,1715939754.8377235,1.6689300537109375e-06
746.0,1715939754.8879006,1,-1.0013580322265625e-05,1715939754.8879237,1.6689300537109375e-06
737.0,1715939754.9379742,1,-1.0013580322265625e-05,1715939754.9379978,1.9073486328125e-06
737.0,1715939754.9893398,1,-9.775161743164062e-06,1715939754.9893627,1.9073486328125e-06
738.0,1715939755.039395,1,-1.0251998901367188e-05,1715939755.0394187,1.6689300537109375e-06
743.0,1715939755.089547,1,-1.1920928955078125e-05,1715939755.0895715,1.9073486328125e-06
738.0,1715939755.139831,1,-1.1444091796875e-05,1715939755.1398556,2.1457672119140625e-06
745.0,1715939755.1901164,1,-1.1444091796875e-05,1715939755.1901424,1.6689300537109375e-06
734.0,1715939755.2402744,1,-1.1920928955078125e-05,1715939755.240302,1.6689300537109375e-06
741.0,1715939755.2904053,1,-9.775161743164062e-06,1715939755.2904313,1.6689300537109375e-06
729.0,1715939755.3405864,1,-1.049041748046875e-05,1715939755.3406126,1.9073486328125e-06
725.0,1715939755.3907983,1,-1.1920928955078125e-05,1715939755.3908234,2.1457672119140625e-06
714.0,1715939755.4408038,1,-1.0013580322265625e-05,1715939755.4408298,1.6689300537109375e-06
715.0,1715939755.4909523,1,-1.0967254638671875e-05,1715939755.4909763,2.6226043701171875e-06
700.0,1715939755.5410488,1,-1.1920928955078125e-05,1715939755.5410736,1.9073486328125e-06
688.0,1715939755.5925083,1,-9.775161743164062e-06,1715939755.5925345,2.1457672119140625e-06
676.0,1715939755.6425505,1,-1.0728836059570312e-05,1715939755.642574,2.1457672119140625e-06
676.0,1715939755.6927145,1,-1.1682510375976562e-05,1715939755.692739,2.1457672119140625e-06
661.0,1715939755.7428367,1,-1.1920928955078125e-05,1715939755.742863,1.6689300537109375e-06
656.0,1715939755.793072,1,-1.1205673217773438e-05,1715939755.7930973,1.430511474609375e-06
638.0,1715939755.8431745,1,-1.0013580322265625e-05,1715939755.8431993,1.6689300537109375e-06
632.0,1715939755.8933427,1,-1.0251998901367188e-05,1715939755.8933692,1.9073486328125e-06
614.0,1715939755.943434,1,-1.1205673217773438e-05,1715939755.9434583,1.430511474609375e-06
619.0,1715939755.9935832,1,-1.1205673217773438e-05,1715939755.9936075,1.6689300537109375e-06
602.0,1715939756.0436614,1,-1.5020370483398438e-05,1715939756.043692,1.9073486328125e-06
598.0,1715939756.0951092,1,-1.0251998901367188e-05,1715939756.0951414,1.6689300537109375e-06
581.0,1715939756.1453261,1,-9.5367431640625e-06,1715939756.1453502,1.9073486328125e-06
578.0,1715939756.195456,1,-1.1444091796875e-05,1715939756.1954806,2.6226043701171875e-06
568.0,1715939756.245544,1,-9.5367431640625e-06,1715939756.2455678,1.6689300537109375e-06
564.0,1715939756.295872,1,-1.1205673217773438e-05,1715939756.2958965,1.9073486328125e-06
548.0,1715939756.3459277,1,-9.5367431640625e-06,1715939756.3459527,1.9073486328125e-06
548.0,1715939756.3961942,1,-1.0251998901367188e-05,1715939756.3962202,1.6689300537109375e-06
537.0,1715939756.4463155,1,-1.1205673217773438e-05,1715939756.446342,1.430511474609375e-06
536.0,1715939756.4965913,1,-1.1205673217773438e-05,1715939756.4966152,2.1457672119140625e-06
525.0,1715939756.5466502,1,-1.8835067749023438e-05,1715939756.5466838,1.9073486328125e-06
522.0,1715939756.5968254,1,-1.1444091796875e-05,1715939756.5968502,2.6226043701171875e-06
506.0,1715939756.64696,1,-1.1682510375976562e-05,1715939756.6469843,2.6226043701171875e-06
517.0,1715939756.6971278,1,-1.1205673217773438e-05,1715939756.6971529,1.6689300537109375e-06
497.0,1715939756.7485554,1,-1.1444091796875e-05,1715939756.7485807,1.6689300537109375e-06
499.0,1715939756.7988546,1,-1.1682510375976562e-05,1715939756.7988799,1.6689300537109375e-06
479.0,1715939756.8490813,1,-9.775161743164062e-06,1715939756.8491066,1.6689300537109375e-06
483.0,1715939756.8992157,1,-1.0013580322265625e-05,1715939756.8992414,1.9073486328125e-06
467.0,1715939756.9493244,1,-1.0967254638671875e-05,1715939756.9493475,1.9073486328125e-06
477.0,1715939756.9994981,1,-9.775161743164062e-06,1715939756.9995239,1.6689300537109375e-06
474.0,1715939757.052533,1,-1.0251998901367188e-05,1715939757.0525596,1.9073486328125e-06
475.0,1715939757.0997002,1,-9.5367431640625e-06,1715939757.0997248,1.6689300537109375e-06
479.0,1715939757.149503,1,-5.4836273193359375e-06,1715939757.1495209,2.6226043701171875e-06
474.0,1715939757.1996822,1,-7.867813110351562e-06,1715939757.1996975,7.152557373046875e-07
478.0,1715939757.2513537,1,-1.049041748046875e-05,1715939757.2513797,1.6689300537109375e-06
477.0,1715939757.3004394,1,-1.1920928955078125e-05,1715939757.3004656,1.9073486328125e-06
