Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
513.0,1715939721.5422573,1,-5.7220458984375e-06,1715939721.5422704,9.5367431640625e-07
518.0,1715939721.5923367,1,-5.4836273193359375e-06,1715939721.5923522,9.5367431640625e-07
518.0,1715939721.6426797,1,-1.430511474609375e-05,1715939721.6427104,2.6226043701171875e-06
525.0,1715939721.6928532,1,-1.4066696166992188e-05,1715939721.6928837,2.6226043701171875e-06
526.0,1715939721.7429311,1,-1.4066696166992188e-05,1715939721.7429614,2.384185791015625e-06
535.0,1715939721.7965841,1,-1.239776611328125e-05,1715939721.796615,2.384185791015625e-06
541.0,1715939721.8431807,1,-1.4066696166992188e-05,1715939721.8432107,2.384185791015625e-06
553.0,1715939721.8933394,1,-1.3589859008789062e-05,1715939721.8933692,2.384185791015625e-06
555.0,1715939721.9446867,1,-8.58306884765625e-06,1715939721.944709,2.384185791015625e-06
565.0,1715939721.9948459,1,-1.0251998901367188e-05,1715939721.994868,1.9073486328125e-06
569.0,1715939722.045058,1,-8.344650268554688e-06,1715939722.0450816,1.6689300537109375e-06
585.0,1715939722.0953233,1,-8.58306884765625e-06,1715939722.0953467,2.1457672119140625e-06
585.0,1715939722.1456082,1,-8.58306884765625e-06,1715939722.145632,1.9073486328125e-06
597.0,1715939722.1965966,1,-9.775161743164062e-06,1715939722.1966178,1.6689300537109375e-06
599.0,1715939722.2458007,1,-1.0251998901367188e-05,1715939722.2458224,1.9073486328125e-06
613.0,1715939722.2961488,1,-9.5367431640625e-06,1715939722.2961702,2.1457672119140625e-06
615.0,1715939722.3462787,1,-8.821487426757812e-06,1715939722.3463008,1.9073486328125e-06
626.0,1715939722.396492,1,-1.5497207641601562e-05,1715939722.3965216,1.9073486328125e-06
629.0,1715939722.446541,1,-8.106231689453125e-06,1715939722.4465644,2.1457672119140625e-06
639.0,1715939722.4968686,1,-1.0013580322265625e-05,1715939722.4968903,2.1457672119140625e-06
643.0,1715939722.5469193,1,-1.0251998901367188e-05,1715939722.5469413,1.9073486328125e-06
657.0,1715939722.5970736,1,-9.5367431640625e-06,1715939722.5970948,1.6689300537109375e-06
660.0,1715939722.6471949,1,-8.58306884765625e-06,1715939722.647218,1.9073486328125e-06
669.0,1715939722.6986282,1,-8.106231689453125e-06,1715939722.6986513,1.9073486328125e-06
678.0,1715939722.7488167,1,-8.344650268554688e-06,1715939722.7488375,1.9073486328125e-06
687.0,1715939722.7989953,1,-1.5020370483398438e-05,1715939722.7990236,1.6689300537109375e-06
690.0,1715939722.8490744,1,-9.775161743164062e-06,1715939722.8490956,2.1457672119140625e-06
699.0,1715939722.8993313,1,-7.867813110351562e-06,1715939722.8993533,2.1457672119140625e-06
700.0,1715939722.949537,1,-1.0013580322265625e-05,1715939722.9495587,2.1457672119140625e-06
711.0,1715939722.9997494,1,-8.344650268554688e-06,1715939722.9997728,1.9073486328125e-06
710.0,1715939723.0497956,1,-7.62939453125e-06,1715939723.0498161,2.1457672119140625e-06
725.0,1715939723.1002285,1,-8.821487426757812e-06,1715939723.1002517,1.9073486328125e-06
724.0,1715939723.1502934,1,-1.0251998901367188e-05,1715939723.1503155,2.1457672119140625e-06
725.0,1715939723.2006295,1,-8.821487426757812e-06,1715939723.2006528,1.9073486328125e-06
717.0,1715939723.2505767,1,-1.0013580322265625e-05,1715939723.2505982,1.9073486328125e-06
730.0,1715939723.3007429,1,-1.0013580322265625e-05,1715939723.3007715,2.384185791015625e-06
724.0,1715939723.3521464,1,-8.106231689453125e-06,1715939723.352167,1.9073486328125e-06
723.0,1715939723.4023442,1,-9.298324584960938e-06,1715939723.4023654,2.1457672119140625e-06
711.0,1715939723.452566,1,-8.106231689453125e-06,1715939723.4525888,1.9073486328125e-06
714.0,1715939723.5030138,1,-8.821487426757812e-06,1715939723.503036,3.5762786865234375e-06
704.0,1715939723.552008,1,-1.0013580322265625e-05,1715939723.5520313,1.6689300537109375e-06
703.0,1715939723.6033404,1,-8.106231689453125e-06,1715939723.6033611,1.9073486328125e-06
697.0,1715939723.6535378,1,-8.821487426757812e-06,1715939723.653561,1.9073486328125e-06
699.0,1715939723.7038615,1,-9.5367431640625e-06,1715939723.7038825,2.1457672119140625e-06
678.0,1715939723.7539458,1,-1.0251998901367188e-05,1715939723.7539675,2.1457672119140625e-06
677.0,1715939723.8042283,1,-1.0013580322265625e-05,1715939723.8042498,1.9073486328125e-06
670.0,1715939723.8541973,1,-9.5367431640625e-06,1715939723.8542187,2.1457672119140625e-06
666.0,1715939723.904445,1,-8.58306884765625e-06,1715939723.904466,1.9073486328125e-06
647.0,1715939723.9544148,1,-1.2159347534179688e-05,1715939723.9544394,2.1457672119140625e-06
644.0,1715939724.0046382,1,-8.344650268554688e-06,1715939724.0046585,1.6689300537109375e-06
630.0,1715939724.0548196,1,-7.867813110351562e-06,1715939724.0548391,1.6689300537109375e-06
627.0,1715939724.1049414,1,-7.867813110351562e-06,1715939724.1049604,2.1457672119140625e-06
615.0,1715939724.1563396,1,-8.106231689453125e-06,1715939724.1563618,1.6689300537109375e-06
616.0,1715939724.2064137,1,-9.775161743164062e-06,1715939724.2064414,2.384185791015625e-06
