Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
572.0,1715940363.3324072,1,-1.239776611328125e-05,1715940363.3324323,2.1457672119140625e-06
568.0,1715940363.3848891,1,-1.1920928955078125e-05,1715940363.384916,1.9073486328125e-06
566.0,1715940363.4326823,1,-1.4781951904296875e-05,1715940363.4327135,1.9073486328125e-06
566.0,1715940363.4829168,1,-1.3589859008789062e-05,1715940363.4829464,2.1457672119140625e-06
555.0,1715940363.5329742,1,-1.3113021850585938e-05,1715940363.5330093,2.1457672119140625e-06
556.0,1715940363.5831213,1,-1.4066696166992188e-05,1715940363.5831504,1.9073486328125e-06
541.0,1715940363.633404,1,-1.4543533325195312e-05,1715940363.633434,2.1457672119140625e-06
542.0,1715940363.6836927,1,-1.2874603271484375e-05,1715940363.6837223,2.384185791015625e-06
532.0,1715940363.7337227,1,-1.0013580322265625e-05,1715940363.7337453,2.1457672119140625e-06
528.0,1715940363.7851493,1,-8.58306884765625e-06,1715940363.7851727,1.9073486328125e-06
517.0,1715940363.835237,1,-8.344650268554688e-06,1715940363.835258,1.9073486328125e-06
522.0,1715940363.8854544,1,-1.049041748046875e-05,1715940363.8854773,1.9073486328125e-06
514.0,1715940363.9354734,1,-1.0013580322265625e-05,1715940363.9354951,1.9073486328125e-06
513.0,1715940363.9856737,1,-9.298324584960938e-06,1715940363.9856958,1.6689300537109375e-06
495.0,1715940364.0357454,1,-9.298324584960938e-06,1715940364.0357668,2.86102294921875e-06
496.0,1715940364.0858982,1,-8.106231689453125e-06,1715940364.0859218,1.9073486328125e-06
480.0,1715940364.1361191,1,-1.0251998901367188e-05,1715940364.136142,2.1457672119140625e-06
477.0,1715940364.1861734,1,-9.5367431640625e-06,1715940364.1861954,1.9073486328125e-06
469.0,1715940364.2374883,1,-1.049041748046875e-05,1715940364.2375114,2.1457672119140625e-06
469.0,1715940364.2876604,1,-1.0013580322265625e-05,1715940364.2876818,1.430511474609375e-06
461.0,1715940364.3377168,1,-8.344650268554688e-06,1715940364.33774,1.9073486328125e-06
460.0,1715940364.387891,1,-1.049041748046875e-05,1715940364.387914,1.9073486328125e-06
455.0,1715940364.4379895,1,-9.298324584960938e-06,1715940364.4380116,1.9073486328125e-06
456.0,1715940364.488213,1,-8.344650268554688e-06,1715940364.4882364,1.9073486328125e-06
457.0,1715940364.5382345,1,-8.344650268554688e-06,1715940364.538259,1.430511474609375e-06
454.0,1715940364.588474,1,-9.775161743164062e-06,1715940364.5884967,1.430511474609375e-06
447.0,1715940364.6386323,1,-8.344650268554688e-06,1715940364.6386557,1.9073486328125e-06
451.0,1715940364.6889105,1,-1.0013580322265625e-05,1715940364.688933,1.6689300537109375e-06
445.0,1715940364.738972,1,-8.821487426757812e-06,1715940364.7390027,1.430511474609375e-06
435.0,1715940364.7903595,1,-8.344650268554688e-06,1715940364.7903802,1.6689300537109375e-06
439.0,1715940364.8404732,1,-8.821487426757812e-06,1715940364.8404942,1.430511474609375e-06
445.0,1715940364.8907118,1,-8.344650268554688e-06,1715940364.8907325,1.9073486328125e-06
444.0,1715940364.9408236,1,-9.059906005859375e-06,1715940364.9408457,1.9073486328125e-06
441.0,1715940364.9909725,1,-1.0013580322265625e-05,1715940364.9909954,2.1457672119140625e-06
445.0,1715940365.0410588,1,-4.124641418457031e-05,1715940365.0411127,1.6689300537109375e-06
451.0,1715940365.091366,1,-8.344650268554688e-06,1715940365.091389,1.430511474609375e-06
448.0,1715940365.141493,1,-1.0013580322265625e-05,1715940365.1415157,1.9073486328125e-06
446.0,1715940365.191659,1,-1.0251998901367188e-05,1715940365.1916816,1.6689300537109375e-06
438.0,1715940365.2414904,1,-4.5299530029296875e-06,1715940365.2415035,9.5367431640625e-07
439.0,1715940365.2915764,1,-5.9604644775390625e-06,1715940365.2915893,9.5367431640625e-07
440.0,1715940365.3429267,1,-6.198883056640625e-06,1715940365.342944,9.5367431640625e-07
441.0,1715940365.3935475,1,-1.5020370483398438e-05,1715940365.3935769,2.1457672119140625e-06
446.0,1715940365.44361,1,-9.775161743164062e-06,1715940365.4436314,1.430511474609375e-06
455.0,1715940365.4939032,1,-8.58306884765625e-06,1715940365.4939246,1.6689300537109375e-06
455.0,1715940365.5440383,1,-1.049041748046875e-05,1715940365.5440612,1.9073486328125e-06
458.0,1715940365.5941308,1,-8.344650268554688e-06,1715940365.5941546,1.6689300537109375e-06
459.0,1715940365.6443372,1,-1.049041748046875e-05,1715940365.6443608,1.6689300537109375e-06
461.0,1715940365.694411,1,-1.0251998901367188e-05,1715940365.6944335,2.86102294921875e-06
456.0,1715940365.7445092,1,-1.0013580322265625e-05,1715940365.7445316,2.1457672119140625e-06
458.0,1715940365.7947986,1,-1.7642974853515625e-05,1715940365.7948306,1.9073486328125e-06
460.0,1715940365.8448403,1,-9.5367431640625e-06,1715940365.844862,1.9073486328125e-06
466.0,1715940365.896328,1,-1.0013580322265625e-05,1715940365.89635,2.6226043701171875e-06
458.0,1715940365.946381,1,-8.58306884765625e-06,1715940365.9464047,1.430511474609375e-06
463.0,1715940365.9966643,1,-8.106231689453125e-06,1715940365.9966888,2.1457672119140625e-06
454.0,1715940366.0469637,1,-1.049041748046875e-05,1715940366.046995,1.9073486328125e-06
468.0,1715940366.097125,1,-1.049041748046875e-05,1715940366.0971484,1.9073486328125e-06
