Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
425.0,1715940449.891619,1,-1.2636184692382812e-05,1715940449.8916466,2.1457672119140625e-06
428.0,1715940449.9418204,1,-1.0967254638671875e-05,1715940449.9418464,1.9073486328125e-06
427.0,1715940449.9918618,1,-1.3828277587890625e-05,1715940449.9918911,2.1457672119140625e-06
430.0,1715940450.0420196,1,-1.4781951904296875e-05,1715940450.0420487,1.1444091796875e-05
430.0,1715940450.0922184,1,-1.4543533325195312e-05,1715940450.0922472,2.384185791015625e-06
439.0,1715940450.1423113,1,-1.2874603271484375e-05,1715940450.142341,2.384185791015625e-06
440.0,1715940450.1924384,1,-1.4781951904296875e-05,1715940450.1924684,1.9073486328125e-06
443.0,1715940450.243774,1,-1.3589859008789062e-05,1715940450.243803,2.384185791015625e-06
448.0,1715940450.2938287,1,-9.059906005859375e-06,1715940450.293853,1.9073486328125e-06
459.0,1715940450.3440897,1,-1.0728836059570312e-05,1715940450.3441133,1.6689300537109375e-06
467.0,1715940450.394141,1,-1.049041748046875e-05,1715940450.3941627,1.9073486328125e-06
478.0,1715940450.4443598,1,-9.298324584960938e-06,1715940450.4443815,1.6689300537109375e-06
480.0,1715940450.4943964,1,-8.821487426757812e-06,1715940450.494419,1.6689300537109375e-06
492.0,1715940450.544531,1,-8.344650268554688e-06,1715940450.5445545,1.9073486328125e-06
499.0,1715940450.5942805,1,-5.4836273193359375e-06,1715940450.5942938,7.152557373046875e-07
505.0,1715940450.6444728,1,-5.7220458984375e-06,1715940450.6444864,7.152557373046875e-07
509.0,1715940450.696136,1,-1.049041748046875e-05,1715940450.6961582,1.9073486328125e-06
524.0,1715940450.7462971,1,-9.059906005859375e-06,1715940450.7463207,1.6689300537109375e-06
527.0,1715940450.7964268,1,-9.059906005859375e-06,1715940450.7964487,2.6226043701171875e-06
544.0,1715940450.846665,1,-9.059906005859375e-06,1715940450.8466887,1.9073486328125e-06
549.0,1715940450.896823,1,-1.049041748046875e-05,1715940450.896845,1.6689300537109375e-06
562.0,1715940450.94714,1,-1.0967254638671875e-05,1715940450.9471626,1.6689300537109375e-06
560.0,1715940450.997232,1,-8.821487426757812e-06,1715940450.9972556,1.9073486328125e-06
576.0,1715940451.0473945,1,-8.821487426757812e-06,1715940451.0474174,1.6689300537109375e-06
580.0,1715940451.0974967,1,-8.821487426757812e-06,1715940451.097521,1.6689300537109375e-06
594.0,1715940451.147654,1,-1.0251998901367188e-05,1715940451.147676,1.6689300537109375e-06
592.0,1715940451.197693,1,-9.5367431640625e-06,1715940451.1977143,1.9073486328125e-06
605.0,1715940451.2491393,1,-1.049041748046875e-05,1715940451.2491612,1.9073486328125e-06
610.0,1715940451.2992382,1,-1.0728836059570312e-05,1715940451.2992604,1.9073486328125e-06
625.0,1715940451.3493927,1,-9.775161743164062e-06,1715940451.349414,1.9073486328125e-06
625.0,1715940451.3994534,1,-1.0728836059570312e-05,1715940451.3994765,1.6689300537109375e-06
645.0,1715940451.4496682,1,-9.5367431640625e-06,1715940451.4496899,1.6689300537109375e-06
652.0,1715940451.4997303,1,-8.58306884765625e-06,1715940451.499754,1.9073486328125e-06
667.0,1715940451.5498893,1,-1.0728836059570312e-05,1715940451.5499117,1.9073486328125e-06
