Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
434.0,1715939968.6216323,1,-1.1682510375976562e-05,1715939968.6216576,2.1457672119140625e-06
439.0,1715939968.671774,1,-1.0967254638671875e-05,1715939968.6718023,2.1457672119140625e-06
438.0,1715939968.7218294,1,-1.52587890625e-05,1715939968.7218611,2.384185791015625e-06
447.0,1715939968.7731318,1,-1.3828277587890625e-05,1715939968.7731607,2.384185791015625e-06
449.0,1715939968.8232489,1,-1.3589859008789062e-05,1715939968.8232765,2.384185791015625e-06
454.0,1715939968.873077,1,-8.106231689453125e-06,1715939968.873093,9.5367431640625e-07
455.0,1715939968.9231746,1,-8.58306884765625e-06,1715939968.9231913,9.5367431640625e-07
465.0,1715939968.973321,1,-7.867813110351562e-06,1715939968.9733372,9.5367431640625e-07
468.0,1715939969.023436,1,-4.76837158203125e-06,1715939969.0234485,1.1920928955078125e-06
467.0,1715939969.0739377,1,-1.0251998901367188e-05,1715939969.0739598,1.6689300537109375e-06
470.0,1715939969.1240897,1,-1.0728836059570312e-05,1715939969.1241121,1.9073486328125e-06
481.0,1715939969.1743283,1,-9.298324584960938e-06,1715939969.174353,1.9073486328125e-06
480.0,1715939969.2245512,1,-1.0728836059570312e-05,1715939969.2245739,2.1457672119140625e-06
489.0,1715939969.2766385,1,-1.0251998901367188e-05,1715939969.276661,1.9073486328125e-06
491.0,1715939969.3260298,1,-9.298324584960938e-06,1715939969.3260534,1.6689300537109375e-06
509.0,1715939969.3763812,1,-9.5367431640625e-06,1715939969.376405,1.6689300537109375e-06
511.0,1715939969.4265065,1,-1.0728836059570312e-05,1715939969.4265296,1.9073486328125e-06
524.0,1715939969.4766898,1,-1.0728836059570312e-05,1715939969.4767127,2.1457672119140625e-06
522.0,1715939969.5268185,1,-1.049041748046875e-05,1715939969.5268414,1.9073486328125e-06
536.0,1715939969.5770676,1,-9.5367431640625e-06,1715939969.5770884,1.6689300537109375e-06
544.0,1715939969.6273797,1,-8.821487426757812e-06,1715939969.6274037,1.9073486328125e-06
554.0,1715939969.6775694,1,-1.0251998901367188e-05,1715939969.6775918,2.1457672119140625e-06
555.0,1715939969.7276573,1,-1.1444091796875e-05,1715939969.7276814,2.384185791015625e-06
570.0,1715939969.7778022,1,-1.049041748046875e-05,1715939969.7778242,1.9073486328125e-06
572.0,1715939969.8281255,1,-1.049041748046875e-05,1715939969.8281481,1.9073486328125e-06
580.0,1715939969.8806157,1,-1.1205673217773438e-05,1715939969.8806407,1.9073486328125e-06
587.0,1715939969.9283597,1,-1.0013580322265625e-05,1715939969.9283812,1.6689300537109375e-06
604.0,1715939969.9784446,1,-8.821487426757812e-06,1715939969.9784672,2.1457672119140625e-06
605.0,1715939970.0298324,1,-8.58306884765625e-06,1715939970.029856,1.9073486328125e-06
619.0,1715939970.0799305,1,-8.58306884765625e-06,1715939970.0800078,1.9073486328125e-06
623.0,1715939970.1300528,1,-1.049041748046875e-05,1715939970.1300757,1.9073486328125e-06
630.0,1715939970.1803956,1,-9.298324584960938e-06,1715939970.1804187,1.9073486328125e-06
637.0,1715939970.2305374,1,-1.049041748046875e-05,1715939970.2305603,1.9073486328125e-06
649.0,1715939970.2807481,1,-9.059906005859375e-06,1715939970.2807724,1.9073486328125e-06
649.0,1715939970.330781,1,-9.059906005859375e-06,1715939970.330805,1.9073486328125e-06
659.0,1715939970.3809588,1,-1.049041748046875e-05,1715939970.3809812,1.9073486328125e-06
656.0,1715939970.4310658,1,-8.58306884765625e-06,1715939970.4310896,1.9073486328125e-06
667.0,1715939970.4824195,1,-1.049041748046875e-05,1715939970.4824421,1.9073486328125e-06
672.0,1715939970.5325491,1,-8.821487426757812e-06,1715939970.532573,1.6689300537109375e-06
684.0,1715939970.5826914,1,-1.0967254638671875e-05,1715939970.5827146,1.9073486328125e-06
678.0,1715939970.632759,1,-1.1205673217773438e-05,1715939970.6327827,1.9073486328125e-06
687.0,1715939970.6830642,1,-8.821487426757812e-06,1715939970.6830873,1.9073486328125e-06
685.0,1715939970.7331831,1,-9.059906005859375e-06,1715939970.733206,1.6689300537109375e-06
683.0,1715939970.7832952,1,-1.0013580322265625e-05,1715939970.783317,2.6226043701171875e-06
677.0,1715939970.8333888,1,-1.0728836059570312e-05,1715939970.833411,1.9073486328125e-06
671.0,1715939970.8835952,1,-9.775161743164062e-06,1715939970.8836179,2.6226043701171875e-06
671.0,1715939970.933755,1,-1.0728836059570312e-05,1715939970.9337778,2.1457672119140625e-06
672.0,1715939970.984063,1,-9.059906005859375e-06,1715939970.9840865,2.1457672119140625e-06
675.0,1715939971.0354342,1,-9.5367431640625e-06,1715939971.035459,2.1457672119140625e-06
680.0,1715939971.0845225,1,-1.049041748046875e-05,1715939971.0845442,1.9073486328125e-06
674.0,1715939971.13578,1,-9.298324584960938e-06,1715939971.1358025,1.9073486328125e-06
679.0,1715939971.1860857,1,-9.298324584960938e-06,1715939971.1861086,1.9073486328125e-06
673.0,1715939971.236083,1,-1.0013580322265625e-05,1715939971.2361078,1.6689300537109375e-06
674.0,1715939971.2863398,1,-9.5367431640625e-06,1715939971.286372,1.6689300537109375e-06
669.0,1715939971.3364272,1,-1.1205673217773438e-05,1715939971.3364503,1.6689300537109375e-06
673.0,1715939971.3865893,1,-1.1444091796875e-05,1715939971.3866127,1.9073486328125e-06
667.0,1715939971.4366157,1,-1.4066696166992188e-05,1715939971.4366438,1.9073486328125e-06
668.0,1715939971.486798,1,-9.298324584960938e-06,1715939971.4868217,1.6689300537109375e-06
659.0,1715939971.5370367,1,-9.298324584960938e-06,1715939971.5370598,1.9073486328125e-06
659.0,1715939971.5873652,1,-9.5367431640625e-06,1715939971.587389,1.6689300537109375e-06
658.0,1715939971.6375005,1,-8.821487426757812e-06,1715939971.6375227,1.6689300537109375e-06
