Amplitude,Rise Time,Turns,Phase,Baseline Crossing,Duration
548.0,1715940337.8470836,1,-7.867813110351562e-06,1715940337.8471014,9.5367431640625e-07
532.0,1715940337.8970337,1,-5.245208740234375e-06,1715940337.897049,9.5367431640625e-07
520.0,1715940337.9473903,1,-1.4543533325195312e-05,1715940337.9474192,1.9073486328125e-06
511.0,1715940337.9977167,1,-1.52587890625e-05,1715940337.9977489,1.9073486328125e-06
500.0,1715940338.0477335,1,-1.52587890625e-05,1715940338.0477645,1.9073486328125e-06
498.0,1715940338.0979123,1,-1.2636184692382812e-05,1715940338.0979512,2.6226043701171875e-06
487.0,1715940338.1480777,1,-1.430511474609375e-05,1715940338.1481092,2.1457672119140625e-06
483.0,1715940338.1982095,1,-1.3828277587890625e-05,1715940338.1982396,1.9073486328125e-06
475.0,1715940338.2484088,1,-9.775161743164062e-06,1715940338.2484314,1.6689300537109375e-06
465.0,1715940338.2997675,1,-8.344650268554688e-06,1715940338.2997909,2.1457672119140625e-06
459.0,1715940338.3498363,1,-8.821487426757812e-06,1715940338.3498595,1.6689300537109375e-06
457.0,1715940338.4001093,1,-1.0251998901367188e-05,1715940338.400132,1.9073486328125e-06
455.0,1715940338.4501078,1,-1.0013580322265625e-05,1715940338.4501297,1.6689300537109375e-06
454.0,1715940338.5003657,1,-8.106231689453125e-06,1715940338.500389,1.9073486328125e-06
455.0,1715940338.550415,1,-8.58306884765625e-06,1715940338.5504377,1.9073486328125e-06
454.0,1715940338.6005902,1,-1.049041748046875e-05,1715940338.6006129,1.6689300537109375e-06
451.0,1715940338.650643,1,-1.0013580322265625e-05,1715940338.6506655,1.430511474609375e-06
449.0,1715940338.7008824,1,-8.58306884765625e-06,1715940338.7009058,1.6689300537109375e-06
451.0,1715940338.7511327,1,-8.821487426757812e-06,1715940338.7511575,2.1457672119140625e-06
451.0,1715940338.801462,1,-1.049041748046875e-05,1715940338.8014846,1.6689300537109375e-06
446.0,1715940338.8527522,1,-8.58306884765625e-06,1715940338.8527763,1.6689300537109375e-06
455.0,1715940338.9017897,1,-1.0013580322265625e-05,1715940338.9018123,1.9073486328125e-06
456.0,1715940338.9531436,1,-1.0251998901367188e-05,1715940338.9531665,2.1457672119140625e-06
460.0,1715940339.0034125,1,-1.0728836059570312e-05,1715940339.0034347,1.9073486328125e-06
466.0,1715940339.0535407,1,-1.0251998901367188e-05,1715940339.0535634,2.1457672119140625e-06
467.0,1715940339.1036718,1,-8.58306884765625e-06,1715940339.103693,2.1457672119140625e-06
469.0,1715940339.15374,1,-1.0013580322265625e-05,1715940339.1537623,1.6689300537109375e-06
481.0,1715940339.2038846,1,-9.059906005859375e-06,1715940339.2039084,1.6689300537109375e-06
484.0,1715940339.25415,1,-8.58306884765625e-06,1715940339.2541738,1.9073486328125e-06
499.0,1715940339.3044508,1,-8.344650268554688e-06,1715940339.304474,1.9073486328125e-06
502.0,1715940339.3544886,1,-8.344650268554688e-06,1715940339.3545098,1.6689300537109375e-06
517.0,1715940339.4046798,1,-8.106231689453125e-06,1715940339.4047022,3.337860107421875e-06
526.0,1715940339.4547408,1,-9.775161743164062e-06,1715940339.454763,1.9073486328125e-06
537.0,1715940339.5061786,1,-8.821487426757812e-06,1715940339.5061994,1.9073486328125e-06
553.0,1715940339.5563552,1,-8.58306884765625e-06,1715940339.556376,2.1457672119140625e-06
568.0,1715940339.6066632,1,-8.344650268554688e-06,1715940339.606684,1.6689300537109375e-06
578.0,1715940339.656803,1,-8.58306884765625e-06,1715940339.6568239,1.6689300537109375e-06
599.0,1715940339.707021,1,-8.821487426757812e-06,1715940339.707042,1.9073486328125e-06
594.0,1715940339.757151,1,-8.58306884765625e-06,1715940339.7571716,1.9073486328125e-06
608.0,1715940339.8073723,1,-8.344650268554688e-06,1715940339.8073928,1.9073486328125e-06
604.0,1715940339.857477,1,-8.821487426757812e-06,1715940339.8574984,1.9073486328125e-06
620.0,1715940339.9076395,1,-1.0251998901367188e-05,1715940339.9076617,1.6689300537109375e-06
619.0,1715940339.9578218,1,-1.0251998901367188e-05,1715940339.9578445,1.6689300537109375e-06
632.0,1715940340.0080447,1,-1.049041748046875e-05,1715940340.0080678,1.6689300537109375e-06
632.0,1715940340.0580902,1,-1.0251998901367188e-05,1715940340.0581129,1.430511474609375e-06
644.0,1715940340.1083386,1,-8.106231689453125e-06,1715940340.1083593,2.1457672119140625e-06
645.0,1715940340.1596344,1,-8.106231689453125e-06,1715940340.1596575,1.6689300537109375e-06
657.0,1715940340.2098837,1,-8.58306884765625e-06,1715940340.2099082,1.9073486328125e-06
656.0,1715940340.2600484,1,-8.58306884765625e-06,1715940340.2600782,1.9073486328125e-06
671.0,1715940340.3101664,1,-7.867813110351562e-06,1715940340.310189,2.1457672119140625e-06
670.0,1715940340.3602903,1,-1.0251998901367188e-05,1715940340.3603122,1.9073486328125e-06
687.0,1715940340.4104028,1,-8.344650268554688e-06,1715940340.4104266,1.9073486328125e-06
685.0,1715940340.4605284,1,-1.0251998901367188e-05,1715940340.4605505,1.9073486328125e-06
694.0,1715940340.510648,1,-8.106231689453125e-06,1715940340.5106719,2.1457672119140625e-06
687.0,1715940340.5608492,1,-8.344650268554688e-06,1715940340.5608718,2.1457672119140625e-06
697.0,1715940340.6109927,1,-1.0728836059570312e-05,1715940340.611016,1.9073486328125e-06
694.0,1715940340.6623895,1,-1.0251998901367188e-05,1715940340.6624126,1.430511474609375e-06
707.0,1715940340.7113793,1,-9.775161743164062e-06,1715940340.7114012,1.6689300537109375e-06
700.0,1715940340.7626984,1,-8.58306884765625e-06,1715940340.7627218,1.9073486328125e-06
711.0,1715940340.8129008,1,-8.106231689453125e-06,1715940340.812924,1.430511474609375e-06
708.0,1715940340.8631296,1,-1.0013580322265625e-05,1715940340.8631518,2.6226043701171875e-06
714.0,1715940340.913343,1,-1.0013580322265625e-05,1715940340.9133658,1.6689300537109375e-06
708.0,1715940340.9634717,1,-9.298324584960938e-06,1715940340.9634933,1.9073486328125e-06
